eventid	iyear	imonth	iday	extended	country	country_txt	region	region_txt	provstate	city	latitude	longitude	specificity	vicinity	location	summary	crit1	crit2	crit3	doubtterr	alternative	alternative_txt	multiple	success	suicide	attacktype1	attacktype1_txt	targtype1	targtype1_txt	targsubtype1	targsubtype1_txt	corp1	target1	natlty1	natlty1_txt	gname	motive	guncertain1	individual	nperps	nperpcap	claimed	compclaim	weaptype1	weaptype1_txt	weapsubtype1	weapsubtype1_txt	nkill	nkillter	nwound	nwoundte	property	propextent	propextent_txt	ishostkid	nhostkid	dbsource	id	population
1.99E+11	1992	11	11	0	69	France	8	Western Europe	Aquitaine	Dax	43.724934	-1.051409	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	2	Government (General)	21	Government Building/Facility/Office	Govt	Government office	69	France	Iparretarrak (IK)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	FRA	64057792
2.01E+11	2011	12	29	0	4	Afghanistan	6	South Asia	Helmand	Unknown	31.363647	63.958611	4	1	In the Nad 'Ali District	"12/29/2011: In the Nad' Ali district of Helmand, Afghanistan, ten police officers were killed and at least one other was injured when a roadside bomb detonated.  The officers were said to have been leaving a training center and many of them were recruits.  The Taliban claimed responsibility for the attack."	1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	25	Police Security Forces/Officers	Police	Police leaving a training center	4	Afghanistan	Taliban	Unknown	0	0	-99	0	1	0	6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	10	0	1	0	1	4	Unknown	0		START Primary Collection	AFG	29121286
2.01E+11	2012	10	8	0	153	Pakistan	6	South Asia	Federally Administered Tribal Areas	Ladha	32.568611	69.83	1	0		"10/08/2012: An explosive device detonated in Ladha area, Federally Administered Tribal Areas, Pakistan. One Pakistani soldier was killed in the blast. No group claimed responsibility for the incident."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	3	Bombing/Explosion	4	Military	34	"Military Personnel (soldiers, troops, officers, forces)"	Pakistan Armed Forces	Soldier	153	Pakistan	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	1	0	0	0	0			0		START Primary Collection	PAK	177276594
2.02E+11	2016	9	26	0	92	India	6	South Asia	Jammu and Kashmir	Anantnag district	33.731126	75.148701	3	0	The incident occurred in the Wanpoh area.	"09/26/2016: Assailants threw a grenade at Central Reserve Police Force personnel in Anantnag, Jammu and Kashmir, India. Five CRPF officers were wounded in the attack. Hizbul Mujahideen (HM) claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	3	Police	25	Police Security Forces/Officers	Central Armed Police Force (CAPF)	Officers	92	India	Hizbul Mujahideen (HM)		0	0	-99	0	1		6	Explosives/Bombs/Dynamite	7	Grenade	0	0	5	0	1	4	Unknown	0		START Primary Collection	IND	1173108018
1.98E+11	1980	11	27	0	185	Spain	8	Western Europe	La Rioja	Logrono	42.465776	-2.449995	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	73	Vehicles/Transportation		vehicle in city street	185	Spain	Basque Fatherland and Freedom (ETA)		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	1		8		1	3	Minor (likely < $1 million)	0		PGIS	ESP	40548753
1.99E+11	1990	1	6	0	97	Israel	10	Middle East & North Africa	West Bank	Kabatiya	32.410221	35.281722	1	0			1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	9	Unknown	4	Military	29	Military Unit/Patrol/Convoy	military	unit	97	Israel	Palestinians		0	0					13	Unknown			0		0		1			0		PGIS	ISR	7353985
2.01E+11	2013	1	1	0	95	Iraq	10	Middle East & North Africa	Saladin	Tikrit	34.604328	43.68557	1	1	East Of Tikrit	"01/01/2013: An explosive device detonated in Tikrit city, Saladin, Iraq. Three police officers were injured in the blast; they had been responding to an earlier explosion at the house of a government official. No group claimed responsibility for the incident."	1	1	1	0			1	1	0	3	Bombing/Explosion	3	Police	25	Police Security Forces/Officers	Iraqi Police Service (IPS)	Police first responders	95	Iraq	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	3	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	IRQ	29671605
2.01E+11	2008	6	21	0	92	India	6	South Asia	Jammu and Kashmir	Doda	33.14575	75.548049	1	0	"The attack took place in Doda, Jammu, India."	"06/21/2008: On Saturday in Doda, Jammu, India, security forces have recovered a 20 kilogram improvised explosive device, planted by militants on Bharat road in Soran village. No group claimed responsibility."	1	1	1	0			0	0	0	3	Bombing/Explosion	20	Unknown				A marriage procession was the target of the bomb.	92	India	Unknown	The specific motive for the attack is unknown.	0	0	-99	0	0		6	Explosives/Bombs/Dynamite	17	Other Explosive Type	0	0	0	0	0			0		ISVG	IND	1173108018
1.98E+11	1984	4	30	0	130	Mexico	1	North America		Trinitaria	16.782334	-93.106199	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	13	Other	65	Refugee Camp		Refugee Camp (Chupadero Camp)	83	Guatemala	Unknown		0	0					5	Firearms	2	Automatic Weapon	8		6		1			0		PGIS	MEX	112468855
2.01E+11	2012	10	13	0	4	Afghanistan	6	South Asia	Kandahar	Spin Boldak	31.006962	66.397171	1	0	The event occurred in the southern part of the country	"10/13/2012: An explosive device detonated in Spin Boldak district, Kandahar province, Afghanistan. At least one United States soldier, Robert J. Billings, was killed and one civilian was injured in the blast. No group claimed responsibility for the incident."	1	1	1	0			0	1	0	3	Bombing/Explosion	4	Military	37	NATO	North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)	Soldiers	422	International	Unknown		0	0	-99	0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	1	0	1	0	0			0		START Primary Collection	AFG	29121286
2.02E+11	2016	11	29	0	4	Afghanistan	6	South Asia	Badghis	Marchak	35.810278	63.1425	1	0		"11/29/2016: Assailants shot down a military helicopter in Marchak, Badghis, Afghanistan. A military general was killed and seven others were wounded in the attack. The Taliban claimed responsibility for the incident; however, officials doubted the veracity of this claim."	1	1	0	1	4	Lack of Intentionality	0	1	0	3	Bombing/Explosion	4	Military	31	Military Aircraft	Afghan National Army (ANA)	Mil Mi-17 Helicopter	4	Afghanistan	Taliban		1	0	-99	0	1		6	Explosives/Bombs/Dynamite	11	"Projectile (rockets, mortars, RPGs, etc.)"	1	0	7	0	1	3	Minor (likely < $1 million)	0		START Primary Collection	AFG	29121286
2.00E+11	2002	10	12	0	93	Indonesia	5	Southeast Asia	North Sulawesi (Province)	Manado	1.491701	124.842843	1	0		"10/12/2002: An explosion at the Philippines Consulate general office in Manado, Indonesia caused no casualties or major damage. No group claimed responsibility for the bombing."	1	1	1	0			0	1	0	3	Bombing/Explosion	7	Government (Diplomatic)	45	"Diplomatic Personnel (outside of embassy, consulate)"	Philippines Ministry of Foreign Affairs	"Philippines Consulate general office in Manado, Indonesia"	160	Philippines	Unknown	Unknown	0	0		0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	0	0	1	3	Minor (likely < $1 million)	0		CETIS	IDN	242968342
1.99E+11	1986	11	6	0	30	Brazil	3	South America	Minas Gerais	Belo Horizonte	-19.924254	-43.935343	1	0			1	1	1	0			0	1	0	1	Assassination	2	Government (General)	15	Politician or Political Party Movement/Meeting/Rally	for general election Nov. 15	"unk, leader of Socialist Democratic Party (PDS)"	30	Brazil	Unknown		0	0					13	Unknown			1		0		0			0		PGIS	BRA	201103330
2.01E+11	2011	12	11	0	95	Iraq	10	Middle East & North Africa	Nineveh	Mosul	36.34	43.13	1	0	No additional information given	"12/11/2011: An employee of the of a state-run medicine factory was kidnapped and then killed in Mosul, Ninawa, Iraq.  No claim of responsibility was reported."	0	1	1	1	2	Other Crime Type	0	1	0	6	Hostage Taking (Kidnapping)	14	Private Citizens & Property	77	Laborer (General)/Occupation Identified	Civilian	employee at a state-run medicine factory	95	Iraq	Unknown	Unknown	0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	1	0	0	0	0			1	1	START Primary Collection	IRQ	29671605
2.00E+11	2001	2	2	0	229	Democratic Republic of the Congo	11	Sub-Saharan Africa	South Kivu	Bukavu	-2.512302	28.848028	1	1	A road linking Bukavu and Kisangani	"2/2/2001: Rwandan Hutu militia ambushed a bus on a road linking Bukavu and Kisangani, Sud-Kivu province, Congo (Kinshasa).  Eleven people were killed in the ambush and at least five were injured.  The specific motive behind the attack is unknown."	1	1	1	0			0	1	0	9	Unknown	14	Private Citizens & Property	67	Unnamed Civilian/Unspecified	Civilians	Civilians on a bus in Sud-Kivu province	229	Democratic Republic of the Congo	Hutus Former Soldiers	"Specific motive is unknown; however, sources state that the militiamen often attack civilians in areas controlled by rebels opposed to the Kinshasa government."	0	0	-99	0	0		13	Unknown			11	0	5	0	-9			0		UMD Schmid 2012	COD	70916439
1.98E+11	1981	2	7	0	97	Israel	10	Middle East & North Africa	Jerusalem	Jerusalem	31.766496	35.21172	1	0			1	1	1	-9			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	73	Vehicles/Transportation		Private vehicle	97	Israel	Palestinians		0	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1	3	Minor (likely < $1 million)	0		PGIS	ISR	7353985
1.98E+11	1978	8	19	0	61	El Salvador	2	Central America & Caribbean		Monserrat			5	0			1	1	1	0			0	1	0	2	Armed Assault	3	Police	22	"Police Building (headquarters, station, school)"		Police Post	61	El Salvador	Armed Forces of National Resistance (FARN)		0	0					5	Firearms	2	Automatic Weapon	0		0		1	4	Unknown	0		PGIS	SLV	6052064
2.01E+11	2006	5	12	0	4	Afghanistan	6	South Asia	Herat	Unknown	34.341943	62.203057	4	0		"05/12/2006: An unknown number of unknown militants fired a rocket a car carrying UNICEF workers in Herat, Afghanistan. Two Unicef workers were killed and one was injured. The Taliban is suspected to be behind the assault."	1	1	1	0			0	1	0	3	Bombing/Explosion	7	Government (Diplomatic)	47	"International Organization (peacekeeper, aid agency, compound)"	UNICEF	Car carrying UNICEF workers	999	Multinational	Taliban	Unknown	0	0		0	0		6	Explosives/Bombs/Dynamite	11	"Projectile (rockets, mortars, RPGs, etc.)"	2	0	1	0	-9			0		CETIS	AFG	29121286
1.99E+11	1985	6	26	0	183	South Africa	11	Sub-Saharan Africa	Eastern Cape	Umtata	-31.601602	28.777502	1	0			1	1	1	0			0	1	0	3	Bombing/Explosion	21	Utilities	107	Electricity		Power Station	183	South Africa	African National Congress (South Africa)		1	0					6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0		0		1			0		PGIS	ZAF	49109107
2.00E+11	1996	8	22	0	87	Haiti	2	Central America & Caribbean		Port-au-Prince	18.5391667	-72.335	1	0			1	1	1	-9			0	1	0	7	Facility/Infrastructure Attack	10	Journalists & Media	55	Television Journalist/Staff/Facility	Nat'l Television of Haiti	TV Station	87	Haiti	Unknown		0	0					5	Firearms	5	Unknown Gun Type	0		0		1			0		PGIS	HTI	9203083
2.01E+11	2007	11	3	0	205	Thailand	5	Southeast Asia	Yala  District	Ban Santhi	6.541147	101.280395	4	0		"11/03/2007: Ten people were wounded, three critically, when a bomb hidden in a pork vendor's stall exploded in a market in Ban Santhi, Thailand. All of the victims were Buddhist. The militants behind the blast were suspected of trying to drive a bigger wedge between the local Buddhist and Muslim communities. The group, however, was not named."	1	1	1	0			0	1	0	3	Bombing/Explosion	14	Private Citizens & Property	69	Religion Identified	Outdoor Market in Yala Province	Buddhist shoppers	205	Thailand	Unknown	Religious conflict between the Malay Muslims and the Thai Buddhists	0	0	6	6	0		6	Explosives/Bombs/Dynamite	12	Remote Trigger	0	0	10	0	1	3	Minor (likely < $1 million)	0		CETIS	THA	66404688
2.01E+11	2013	4	23	0	4	Afghanistan	6	South Asia	Logar	Puli Alam district	34.006566	69.007332	3	0		"04/23/2013: Assailants opened fire on a group of International Security Assistance Force (ISAF) soldiers in Pul-e-Alam district, Logar province, Afghanistan. Two United States (US) soldiers, Captain Aaron R. Blanchard and 1st Lieutenant Robert J. Hess, were killed in the attack. No group claimed responsibility for the incident."	1	1	0	1	1	Insurgency/Guerilla Action	0	1	0	2	Armed Assault	4	Military	37	NATO	North Atlantic Treaty Organization (NATO): International Security Assistance Force (ISAF)	United States Soldiers	422	International	Unknown		0	0	-99	0	0		5	Firearms	5	Unknown Gun Type	2	0	0	0	0			0		START Primary Collection	AFG	29121286
2.01E+11	2005	10	29	0	153	Pakistan	6	South Asia	Balochistan	Sibi district	29.64412	67.816657	3	0	Fifty-five kilometers upstream of Sibi	10/29/2005: Unidentified perpetrators bombed a repeater station along the Sui Southern Gas Company’s Quetta Pipeline causing the station to shut down. No group claimed responsibility for the attack.	1	1	1	1	2	Other Crime Type	0	1	0	3	Bombing/Explosion	21	Utilities	108	Oil	Oil Pipeline	Oil Pipeline belonging to the Sui Southern Gas Company	153	Pakistan	Unknown	Unknown	0	0		0	0		6	Explosives/Bombs/Dynamite	16	Unknown Explosive Type	0	0	0	0	1	3	Minor (likely < $1 million)	0		CETIS	PAK	177276594
2.01E+11	2009	2	12	0	78	Greece	8	Western Europe	Attica	Athens	37.931908	23.757252	1	0	Assailants threw an incendiary device at the home of a judge.	"02/12/2009: On Thursday, at noon, in the Ilioupolis neighborhood of Athens, Attiki, Greece, assailants threw an incendiary device at the home of a judge, causing minor damage to the residence and no injuries. No casulaties were reported and the Conspiracy of Fire Nuclei claimed responsibility."	1	1	1	0			0	1	0	7	Facility/Infrastructure Attack	2	Government (General)	18	"Government Personnel (excluding police, military)"		The home of a judge was the target.	78	Greece	Conspiracy of Cells of Fire	The specific motive for the attack is unknown.	0	0	-99	-99	1		8	Incendiary	19	Molotov Cocktail/Petrol Bomb	0		0		1	3	Minor (likely < $1 million)	0		ISVG	GRC	10749943
